latitude,longitude,base,weekday,day,month,year,hour,isWeekend,isHoliday,demand
40.6934,-73.9951,1,2,30,4,2014,16,0,0,180
40.7715,-73.9595,1,3,25,9,2014,22,0,0,61
40.7843,-73.9709,4,3,25,9,2014,8,0,0,88
40.7372,-73.9902,2,5,5,4,2014,11,0,0,21
40.7466,-73.9723,4,4,29,8,2014,19,0,0,42
40.7819,-73.9573,3,2,30,4,2014,16,0,0,179
40.7091,-74.0076,3,2,16,7,2014,17,0,0,84
40.7279,-74.0049,3,3,25,9,2014,7,0,0,105
40.8081,-73.958,2,4,29,8,2014,15,0,0,109
40.7487,-73.9424,1,6,8,6,2014,7,1,0,14
40.7236,-73.9394,3,4,2,5,2014,7,0,0,63
40.7734,-73.989,2,0,28,7,2014,17,0,0,110
40.7195,-73.9867,1,0,12,5,2014,7,0,0,58
40.7656,-73.9568,2,4,29,8,2014,9,0,0,77
40.7075,-74.0131,3,4,8,8,2014,23,0,0,50
40.7905,-73.9495,1,5,12,4,2014,9,0,0,29
40.7159,-74.0152,2,2,30,4,2014,19,0,0,109
40.772,-73.95,1,1,13,5,2014,7,1,0,62
40.7397,-73.9809,3,2,24,9,2014,12,0,0,27
40.7439,-74.0064,2,1,19,8,2014,8,1,0,88
40.7559,-73.9827,0,0,12,5,2014,16,0,0,14
40.7754,-73.9637,1,1,22,4,2014,21,1,0,60
40.725,-74.0077,3,3,26,6,2014,16,0,0,78
40.763,-73.9805,2,2,3,9,2014,8,0,0,130
40.7587,-73.976,1,1,15,7,2014,0,1,0,34
40.7593,-73.9965,1,0,18,8,2014,15,0,0,74
40.714,-74.0143,3,2,18,6,2014,18,0,0,79
40.7236,-73.9965,2,5,9,8,2014,20,0,0,130
40.7575,-73.9896,1,2,17,9,2014,11,0,0,45
40.7478,-74.0069,3,2,16,4,2014,11,0,0,37
40.6922,-73.9439,2,0,15,9,2014,8,0,0,136
40.6833,-73.9818,1,2,6,8,2014,18,0,0,85
40.7474,-73.9723,1,6,17,8,2014,13,1,0,53
40.7892,-73.9688,3,4,8,8,2014,20,0,0,50
40.7753,-73.9633,2,1,2,9,2014,14,1,0,102
40.7738,-73.9812,2,3,11,9,2014,9,0,0,74
40.7245,-73.9959,2,1,10,6,2014,15,1,0,77
40.6729,-74.0121,1,5,6,9,2014,14,0,0,92
40.7267,-74.0002,3,1,15,4,2014,19,1,0,120
40.6935,-73.9903,3,3,10,7,2014,20,0,0,89
40.8129,-73.9436,2,4,25,7,2014,8,0,0,87
40.7691,-73.9521,3,6,21,9,2014,9,1,0,26
40.7197,-74.0429,1,4,8,8,2014,0,0,0,29
40.707,-74.0081,1,2,17,9,2014,18,0,0,122
40.7472,-73.9856,3,1,15,4,2014,19,1,0,136
40.7657,-73.9187,4,5,6,9,2014,11,0,0,35
40.8083,-73.1899,0,2,24,9,2014,15,0,0,11
40.7599,-73.9721,1,2,9,7,2014,1,0,0,13
40.7554,-73.9743,2,4,12,9,2014,16,0,0,166
40.763,-73.9577,2,6,13,7,2014,21,1,0,55
40.7329,-74.0065,1,5,26,7,2014,10,0,0,44
40.7692,-74.0158,2,5,9,8,2014,7,0,0,31
40.7678,-73.8619,1,4,13,6,2014,22,0,0,90
40.7374,-73.9972,1,0,1,9,2014,23,0,1,22
40.8101,-73.9451,1,2,2,7,2014,17,0,0,160
40.7458,-73.9844,1,0,22,9,2014,20,0,0,79
40.7382,-73.99,1,1,17,6,2014,15,1,0,106
40.7627,-73.991,1,3,17,7,2014,21,0,0,123
40.6634,-73.7701,4,3,18,9,2014,1,0,0,6
40.7339,-73.9993,2,2,28,5,2014,11,0,0,23
40.773,-73.9553,1,0,16,6,2014,6,0,0,40
40.785,-73.9733,2,6,15,6,2014,1,1,0,33
40.7047,-74.0116,1,2,9,4,2014,20,0,0,42
40.7602,-73.9754,2,2,14,5,2014,15,0,0,41
40.7716,-73.983,2,4,12,9,2014,1,0,0,26
40.7235,-73.9938,2,3,14,8,2014,8,0,0,70
40.7762,-73.9499,2,5,20,9,2014,16,0,0,160
40.7374,-73.9927,2,4,29,8,2014,11,0,0,69
40.6955,-74.1756,2,1,2,9,2014,6,1,0,103
40.7742,-73.9788,0,0,12,5,2014,7,0,0,10
40.7574,-73.9666,1,6,13,7,2014,21,1,0,46
40.7538,-73.9679,1,4,30,5,2014,15,0,0,107
40.7394,-74.0067,0,5,12,4,2014,2,0,0,4
40.6719,-73.9796,2,0,15,9,2014,7,0,0,124
40.7564,-73.9724,3,5,23,8,2014,6,0,0,17
40.717,-74.0093,1,2,10,9,2014,17,0,0,108
40.7331,-73.9886,2,6,20,7,2014,21,1,0,79
40.7289,-73.9842,1,3,4,9,2014,22,0,0,76
40.7548,-73.9797,2,1,2,9,2014,18,1,0,115
40.8114,-73.9541,4,3,24,7,2014,0,0,0,1
40.7544,-73.9827,2,1,12,8,2014,15,1,0,121
40.7572,-73.99,1,5,9,8,2014,16,0,0,83
40.7714,-73.9663,2,4,18,7,2014,13,0,0,78
40.7598,-73.9683,2,1,9,9,2014,7,1,0,106
40.7262,-73.9895,1,1,2,9,2014,20,1,0,82
40.7589,-73.9892,2,1,29,7,2014,17,1,0,165
40.7578,-73.9901,2,1,12,8,2014,22,1,0,104
40.7243,-73.996,1,4,2,5,2014,14,0,0,64
40.7693,-73.9638,1,4,19,9,2014,21,0,0,116
40.7595,-73.9762,2,1,15,4,2014,16,1,0,56
40.7645,-73.9787,2,1,19,8,2014,5,1,0,49
40.7173,-74.0158,2,2,30,7,2014,7,0,0,83
40.7352,-73.9918,2,4,19,9,2014,9,0,0,87
40.7246,-73.9934,2,4,1,8,2014,0,0,0,49
40.7587,-73.9813,1,3,14,8,2014,16,0,0,80
40.7659,-73.9575,1,5,19,7,2014,12,0,0,66
40.7326,-74.0046,2,4,26,9,2014,2,0,0,15
40.7195,-73.9996,0,0,18,8,2014,12,0,0,8
40.7588,-73.9757,1,2,21,5,2014,23,0,0,29
40.726,-73.9945,1,2,7,5,2014,19,0,0,104
40.7237,-73.9893,0,0,7,7,2014,11,0,0,6
40.7387,-73.9979,1,2,30,4,2014,12,0,0,81
40.7288,-73.9881,3,4,25,4,2014,7,0,0,67
40.6941,-73.9099,2,4,5,9,2014,12,0,0,113
40.704,-73.93,3,5,20,9,2014,3,0,0,14
40.7544,-73.9696,2,0,19,5,2014,18,0,0,40
40.7375,-73.9801,3,5,26,7,2014,15,0,0,56
40.7199,-73.9921,1,2,4,6,2014,16,0,0,137
40.7458,-73.9881,3,2,18,6,2014,15,0,0,72
40.7338,-74.0017,1,3,18,9,2014,19,0,0,111
40.7139,-73.9796,3,3,21,8,2014,9,0,0,36
40.7716,-73.9828,0,1,16,9,2014,6,1,0,7
40.7371,-73.9811,2,0,28,7,2014,15,0,0,116
40.7513,-73.9835,3,5,31,5,2014,23,0,0,103
40.7157,-73.9646,1,4,4,7,2014,19,0,1,44
40.6459,-73.7829,1,6,1,6,2014,18,1,0,75
40.7353,-73.994,1,5,12,4,2014,16,0,0,76
40.7361,-73.9971,2,2,2,7,2014,22,0,0,58
40.7467,-73.9815,2,4,25,7,2014,21,0,0,154
40.7599,-73.9767,3,3,15,5,2014,12,0,0,54
40.7143,-73.9458,3,1,19,8,2014,4,1,0,14
40.711,-74.0078,1,3,10,7,2014,18,0,0,106
40.72,-73.9843,1,4,1,8,2014,3,0,0,14
40.7405,-73.9823,3,4,16,5,2014,9,0,0,41
40.7697,-73.9689,2,5,6,9,2014,16,0,0,181
40.7142,-73.9352,1,3,8,5,2014,0,0,0,24
40.6486,-73.783,0,1,9,9,2014,22,1,0,6
40.7261,-73.992,1,5,7,6,2014,17,0,0,90
40.7897,-73.9404,4,6,24,8,2014,7,1,0,3
40.7265,-73.9802,1,2,16,4,2014,5,0,0,14
40.889,-73.9116,1,2,10,9,2014,8,0,0,89
40.7129,-73.959,2,2,13,8,2014,20,0,0,149
40.7103,-73.9845,1,2,2,4,2014,15,0,0,54
40.7485,-73.9845,2,3,17,7,2014,19,0,0,139
40.8111,-73.9431,3,1,20,5,2014,20,1,0,77
40.7817,-73.9589,2,4,27,6,2014,7,0,0,50
40.7458,-73.9836,2,6,13,4,2014,11,1,0,21
40.7684,-73.9821,1,0,28,7,2014,9,0,0,49
40.7525,-73.993,1,3,28,8,2014,17,0,0,78
40.7184,-73.9892,2,0,16,6,2014,19,0,0,56
40.764,-73.9711,3,3,12,6,2014,16,0,0,94
40.7604,-73.958,1,4,20,6,2014,4,0,0,18
40.7068,-73.9249,3,2,3,9,2014,21,0,0,49
40.7258,-73.9948,1,4,26,9,2014,21,0,0,101
40.7685,-73.9556,1,3,25,9,2014,12,0,0,68
40.7721,-73.9675,2,3,12,6,2014,19,0,0,70
40.7456,-73.9571,2,5,24,5,2014,15,0,0,65
40.7944,-73.9632,1,4,5,9,2014,14,0,0,92
40.7765,-73.9897,2,1,1,4,2014,19,1,0,46
40.7752,-73.9538,2,4,22,8,2014,19,0,0,141
40.7453,-73.9868,0,5,17,5,2014,9,0,0,6
40.7324,-74.0017,2,4,19,9,2014,22,0,0,161
40.7638,-73.9393,1,4,25,7,2014,18,0,0,88
40.7049,-74.0108,3,4,1,8,2014,13,0,0,56
40.7221,-74.0038,0,0,4,8,2014,8,0,0,11
40.7684,-74.1642,2,4,11,7,2014,15,0,0,131
40.6526,-74.0031,3,6,27,7,2014,20,1,0,45
40.6705,-73.9422,3,6,24,8,2014,0,1,0,46
40.6459,-73.7767,4,6,24,8,2014,7,1,0,8
40.7576,-73.9694,3,4,23,5,2014,19,0,0,144
40.7411,-73.9812,2,6,10,8,2014,22,1,0,57
40.7833,-73.9528,2,6,27,7,2014,18,1,0,101
40.7492,-73.9883,1,6,13,7,2014,17,1,0,77
40.7574,-73.9898,3,3,31,7,2014,17,0,0,90
40.7606,-73.9706,3,3,17,7,2014,12,0,0,46
40.77,-73.9552,3,3,19,6,2014,7,0,0,69
40.7604,-73.9875,1,5,17,5,2014,0,0,0,38
40.7054,-74.008,1,4,15,8,2014,20,0,0,91
40.7393,-73.9883,1,2,16,4,2014,15,0,0,60
40.7383,-74.0021,3,0,15,9,2014,5,0,0,42
40.7347,-74.0095,0,5,13,9,2014,18,0,0,27
40.7344,-74.0019,2,1,1,7,2014,7,1,0,76
40.7266,-74.0074,3,4,2,5,2014,17,0,0,141
40.7686,-73.8625,3,0,9,6,2014,9,0,0,61
40.7367,-74.0044,1,6,28,9,2014,18,1,0,66
40.7665,-73.9216,4,4,5,9,2014,20,0,0,53
40.7475,-73.9848,3,1,22,7,2014,22,1,0,53
40.7145,-73.9872,2,2,23,7,2014,2,0,0,8
40.7583,-73.9715,1,1,29,7,2014,20,1,0,89
40.7777,-73.9887,0,3,24,4,2014,4,0,0,2
40.818,-73.9606,1,3,15,5,2014,18,0,0,136
40.7567,-73.9669,2,5,31,5,2014,8,0,0,20
40.7612,-73.999,2,2,9,4,2014,7,0,0,42
40.7607,-73.994,3,4,29,8,2014,13,0,0,48
40.712,-74.0102,3,2,23,4,2014,19,0,0,111
40.7083,-74.0058,2,5,19,4,2014,5,0,0,4
40.7649,-73.9197,3,4,16,5,2014,15,0,0,83
40.7591,-73.9735,0,2,7,5,2014,14,0,0,9
40.7589,-73.9817,4,2,10,9,2014,19,0,0,56
40.7416,-73.9514,2,4,5,9,2014,17,0,0,203
40.7442,-74.0067,2,2,24,9,2014,23,0,0,32
40.7308,-73.9929,1,4,11,7,2014,22,0,0,108
40.6853,-73.9526,3,2,24,9,2014,5,0,0,17
40.7529,-73.9725,2,3,22,5,2014,19,0,0,57
40.7847,-73.9699,0,2,16,4,2014,15,0,0,10
40.7651,-73.9706,2,2,28,5,2014,18,0,0,71
40.7724,-73.9587,1,4,27,6,2014,9,0,0,50
40.7605,-73.98,1,1,15,7,2014,17,1,0,156
40.7139,-73.9393,1,3,15,5,2014,20,0,0,125
40.7527,-73.9858,3,0,1,9,2014,11,0,1,34
40.7141,-73.949,2,3,21,8,2014,17,0,0,158
40.7705,-73.9641,3,1,1,4,2014,6,1,0,40
40.6895,-73.9915,1,0,30,6,2014,15,0,0,62
40.7709,-73.9883,0,5,6,9,2014,8,0,0,7
40.7415,-73.9893,2,2,30,7,2014,8,0,0,91
40.8059,-73.953,2,4,22,8,2014,21,0,0,124
40.7265,-73.9846,3,4,13,6,2014,18,0,0,191
40.769,-73.9825,1,1,3,6,2014,21,1,0,91
40.7492,-73.9922,1,1,15,7,2014,22,1,0,79
40.7195,-73.9867,2,4,1,8,2014,22,0,0,156
40.7468,-73.9436,1,3,12,6,2014,23,0,0,94
40.7503,-73.9913,3,2,30,4,2014,12,0,0,111
40.7651,-73.9749,3,3,26,6,2014,17,0,0,96
40.6165,-73.9303,1,2,21,5,2014,2,0,0,12
40.7955,-73.9329,1,4,29,8,2014,7,0,0,49
40.7606,-73.9774,1,1,23,9,2014,20,1,0,80
40.7741,-73.8725,2,4,18,4,2014,21,0,0,31
40.7353,-74.0012,1,4,6,6,2014,18,0,0,90
40.7575,-73.9752,1,3,10,7,2014,13,0,0,57
40.7672,-73.8837,1,3,10,7,2014,11,0,0,76
40.7356,-74.0036,2,6,8,6,2014,14,1,0,34
40.745,-73.9767,2,2,17,9,2014,19,0,0,141
40.7198,-74.0007,1,0,26,5,2014,20,0,1,37
40.6447,-73.7818,2,2,20,8,2014,15,0,0,106
40.7706,-73.8652,1,0,5,5,2014,18,0,0,104
40.7212,-73.9924,1,6,15,6,2014,20,1,0,45
40.7293,-73.9878,1,3,25,9,2014,7,0,0,100
40.7697,-73.967,1,3,11,9,2014,13,0,0,69
40.7721,-73.9901,1,3,28,8,2014,19,0,0,86
40.708,-74.0097,2,0,11,8,2014,18,0,0,91
40.7168,-74.0042,3,5,19,7,2014,10,0,0,51
40.7473,-73.9933,2,5,20,9,2014,10,0,0,65
40.757,-73.9851,1,0,15,9,2014,16,0,0,78
40.7278,-73.9792,3,2,9,4,2014,5,0,0,27
40.7115,-74.0082,2,4,25,7,2014,15,0,0,111
40.7624,-73.9962,1,3,21,8,2014,8,0,0,64
40.7263,-73.9917,3,5,10,5,2014,23,0,0,127
40.7151,-73.8232,1,3,19,6,2014,6,0,0,68
40.7777,-73.9836,3,5,12,4,2014,10,0,0,35
40.7052,-74.0079,1,2,2,7,2014,15,0,0,89
40.7206,-73.9833,2,6,21,9,2014,7,1,0,39
40.8889,-73.912,1,5,31,5,2014,17,0,0,92
40.7328,-73.8501,4,6,7,9,2014,15,1,0,47
40.7487,-73.9775,1,4,25,4,2014,6,0,0,26
40.7534,-73.9854,3,5,20,9,2014,7,0,0,24
40.7712,-73.9874,3,3,17,4,2014,5,0,0,30
40.7808,-73.9565,3,2,11,6,2014,7,0,0,102
40.7569,-73.9772,2,0,7,4,2014,21,0,0,39
40.6448,-73.7818,3,2,25,6,2014,14,0,0,59
40.7389,-74.0054,2,2,14,5,2014,22,0,0,39
40.6449,-73.7823,2,4,18,4,2014,16,0,0,36
40.6661,-73.9868,2,4,15,8,2014,23,0,0,122
40.7293,-73.9799,2,3,18,9,2014,22,0,0,145
40.7585,-73.9694,1,3,1,5,2014,21,0,0,106
40.7682,-73.9686,1,1,17,6,2014,15,1,0,89
40.7514,-73.9496,3,4,25,4,2014,18,0,0,120
40.7247,-73.9938,2,3,17,7,2014,9,0,0,72
40.7135,-73.9568,2,0,14,4,2014,19,0,0,22
40.6675,-73.9863,1,6,6,4,2014,0,1,0,59
40.7826,-73.8261,3,3,18,9,2014,5,0,0,22
40.7384,-73.9799,2,4,4,4,2014,18,0,0,83
40.724,-73.9965,2,1,12,8,2014,18,1,0,274
40.745,-73.9862,3,5,19,4,2014,19,0,0,64
40.7843,-73.9835,0,3,26,6,2014,16,0,0,16
40.9,-73.9123,2,5,12,7,2014,23,0,0,111
40.7629,-73.9597,2,3,31,7,2014,7,0,0,110
40.7612,-73.9794,2,1,12,8,2014,18,1,0,146
40.736,-73.9936,0,0,16,6,2014,17,0,0,13
40.751,-73.9748,2,4,11,4,2014,16,0,0,47
40.7206,-73.9871,3,6,15,6,2014,0,1,0,49
40.7377,-73.9931,2,2,30,4,2014,6,0,0,29
40.7514,-73.9891,4,1,26,8,2014,15,1,0,23
40.7503,-73.9948,3,3,22,5,2014,9,0,0,69
40.7494,-73.8977,2,5,24,5,2014,23,0,0,27
40.7491,-73.9879,1,6,10,8,2014,18,1,0,52
40.7564,-73.9928,1,3,25,9,2014,6,0,0,86
40.7847,-74.0357,2,1,3,6,2014,14,1,0,56
40.7362,-73.9935,0,3,24,4,2014,18,0,0,18
40.7281,-74.003,3,4,19,9,2014,0,0,0,15
40.7545,-73.9886,3,2,30,4,2014,23,0,0,95
40.7192,-73.9628,4,5,6,9,2014,6,0,0,7
40.748,-74,1,3,24,4,2014,16,0,0,96
40.7882,-73.9527,2,3,28,8,2014,18,0,0,129
40.7354,-74.006,2,5,13,9,2014,16,0,0,177
40.7123,-73.964,2,5,26,4,2014,1,0,0,27
40.6756,-74.0145,1,4,11,7,2014,22,0,0,113
40.7597,-73.9664,1,5,13,9,2014,20,0,0,91
40.7427,-73.9922,3,0,7,4,2014,17,0,0,187
40.7636,-73.9598,1,6,8,6,2014,12,1,0,61
40.694,-74.0008,3,5,31,5,2014,16,0,0,84
40.7468,-73.9923,1,0,14,4,2014,17,0,0,63
40.7187,-74.0026,2,4,26,9,2014,18,0,0,168
40.7553,-73.9774,1,6,21,9,2014,10,1,0,49
40.7432,-73.9861,1,3,14,8,2014,16,0,0,97
40.7563,-73.9289,3,4,29,8,2014,1,0,0,22
40.6485,-73.784,1,6,18,5,2014,16,1,0,82
40.7382,-74.0026,1,0,25,8,2014,7,0,0,46
40.7134,-73.962,3,3,24,7,2014,12,0,0,45
40.7691,-73.9673,2,0,28,7,2014,10,0,0,58
40.7604,-73.9749,2,1,1,7,2014,17,1,0,143
40.7435,-73.9923,3,2,7,5,2014,19,0,0,90
40.9316,-73.9003,1,4,16,5,2014,18,0,0,187
40.709,-73.9485,3,3,25,9,2014,17,0,0,85
40.7456,-73.9571,2,0,29,9,2014,8,0,0,73
40.7577,-73.9906,1,0,2,6,2014,7,0,0,70
40.7739,-73.9501,2,3,21,8,2014,7,0,0,95
40.6881,-73.9961,2,1,26,8,2014,11,1,0,63
40.6672,-73.9747,4,4,5,9,2014,21,0,0,53
40.7399,-73.995,1,5,16,8,2014,16,0,0,64
40.75,-73.9938,1,1,22,7,2014,16,1,0,99
40.8072,-73.9438,0,3,1,5,2014,20,0,0,14
40.7741,-73.8723,2,5,2,8,2014,16,0,0,119
40.7255,-73.9574,1,3,25,9,2014,23,0,0,44
40.7693,-73.9549,2,2,3,9,2014,6,0,0,114
40.7738,-73.8724,2,2,4,6,2014,15,0,0,58
40.7607,-73.9786,3,5,7,6,2014,12,0,0,46
40.7161,-73.9837,3,5,5,7,2014,11,0,0,27
40.8496,-73.9285,2,1,9,9,2014,4,1,0,26
40.6447,-73.7822,3,2,3,9,2014,6,0,0,38
40.6673,-73.9878,1,3,24,4,2014,8,0,0,58
40.7235,-74.0029,3,5,19,7,2014,14,0,0,57
40.7445,-74.0006,2,5,10,5,2014,21,0,0,36
40.7527,-73.9801,2,0,4,8,2014,15,0,0,115
40.6867,-73.9595,3,5,6,9,2014,1,0,0,32
40.7474,-73.9846,3,3,28,8,2014,9,0,0,30
40.7186,-73.9589,1,6,10,8,2014,1,1,0,46
40.7634,-73.9927,1,5,19,4,2014,0,0,0,40
40.7336,-73.9899,1,2,13,8,2014,14,0,0,63
40.7714,-73.9894,4,3,28,8,2014,18,0,0,23
40.6801,-73.8635,1,6,17,8,2014,12,1,0,42
40.7538,-73.9822,1,3,10,7,2014,21,0,0,115
40.7799,-73.9747,2,1,16,9,2014,9,1,0,125
40.7608,-73.9943,3,5,31,5,2014,22,0,0,83
40.7529,-73.9729,3,1,13,5,2014,19,1,0,77
40.7325,-74.0034,3,3,17,4,2014,20,0,0,95
40.7422,-73.9853,0,3,17,4,2014,7,0,0,12
40.7212,-73.9937,1,4,18,7,2014,0,0,0,32
40.6685,-73.9534,1,4,4,4,2014,23,0,0,49
40.7264,-73.9473,2,1,23,9,2014,5,1,0,66
40.7598,-73.9681,1,4,5,9,2014,6,0,0,47
40.7789,-73.9561,1,2,2,4,2014,8,0,0,46
40.7531,-73.9794,3,4,26,9,2014,6,0,0,33
40.7274,-73.9921,2,5,23,8,2014,2,0,0,54
40.6936,-73.9967,1,6,10,8,2014,15,1,0,58
40.7687,-73.9848,1,2,6,8,2014,7,0,0,70
40.7584,-73.9866,1,1,3,6,2014,14,1,0,76
40.7619,-73.9676,1,3,18,9,2014,15,0,0,101
40.7394,-74.0012,2,3,18,9,2014,23,0,0,84
40.7467,-73.986,2,0,14,7,2014,17,0,0,132
40.7741,-73.873,1,6,13,7,2014,22,1,0,51
40.737,-74.0078,4,3,4,9,2014,21,0,0,46
40.7615,-73.979,3,1,22,7,2014,1,1,0,6
40.7346,-74.0054,1,3,10,4,2014,6,0,0,46
40.7408,-73.9972,2,1,15,4,2014,20,1,0,56
40.7231,-73.994,3,0,16,6,2014,5,0,0,28
40.7559,-73.9792,1,0,4,8,2014,22,0,0,39
40.735,-73.9877,2,2,3,9,2014,17,0,0,168
40.7611,-73.9794,3,6,3,8,2014,16,1,0,59
40.7249,-73.9972,1,2,23,4,2014,7,0,0,56
40.7391,-73.9988,3,3,3,4,2014,19,0,0,110
40.7252,-74.0034,2,4,9,5,2014,22,0,0,46
40.6713,-73.9549,3,2,6,8,2014,20,0,0,70
40.7591,-73.9192,1,6,3,8,2014,1,1,0,41
40.7862,-73.9559,4,3,18,9,2014,15,0,0,70
40.6792,-73.8494,2,6,21,9,2014,9,1,0,67
40.7253,-74.004,1,3,19,6,2014,19,0,0,99
40.7669,-73.9829,4,1,30,9,2014,16,1,0,92
40.7434,-73.9757,1,3,28,8,2014,9,0,0,51
40.7317,-73.8204,4,4,12,9,2014,20,0,0,70
40.7603,-73.9851,2,2,9,7,2014,16,0,0,120
40.7037,-73.9847,3,1,15,7,2014,21,1,0,79
40.7582,-73.9726,0,4,20,6,2014,15,0,0,12
40.6838,-73.8067,0,3,24,4,2014,18,0,0,16
40.7341,-74.0041,1,5,13,9,2014,5,0,0,12
40.7923,-73.9261,3,3,8,5,2014,16,0,0,112
40.7615,-73.9775,2,0,26,5,2014,21,0,1,23
40.6447,-73.7821,2,1,19,8,2014,17,1,0,136
40.6999,-73.9392,4,4,26,9,2014,23,0,0,102
40.7097,-74.0139,2,3,11,9,2014,17,0,0,197
40.7412,-73.9856,1,3,26,6,2014,17,0,0,135
40.7406,-73.993,1,3,4,9,2014,20,0,0,122
40.7255,-74.0041,2,2,27,8,2014,21,0,0,149
40.7596,-73.9817,1,3,15,5,2014,17,0,0,132
40.755,-73.9729,2,3,4,9,2014,15,0,0,157
40.7466,-73.9861,2,5,13,9,2014,22,0,0,168
40.8109,-73.9584,3,4,18,7,2014,23,0,0,104
40.6879,-74.1814,1,3,25,9,2014,22,0,0,75
40.7606,-73.9797,1,3,29,5,2014,22,0,0,97
40.7378,-73.9897,2,0,8,9,2014,19,0,0,124
40.769,-73.9567,1,5,24,5,2014,12,0,0,37
40.742,-73.9895,1,0,4,8,2014,17,0,0,87
40.8082,-73.9451,1,6,13,7,2014,14,1,0,54
40.743,-74.0074,3,2,16,4,2014,16,0,0,87
